,suhu,kelembaban,jam,kadar_gas,status_kematangan
639,28.997352525354447,92.189066736378,43,0.2548444560630016,matang
640,28.159784367519336,92.40275655743244,50,0.5910807963320311,matang
641,28.344395081838584,93.29684989637146,42,0.3856400600486299,matang
642,28.438315888088056,91.7045734171726,47,0.3714969883661753,matang
643,29.24246120565141,90.74429385134108,44,0.305759182854409,matang
644,31.04750092305467,90.83081247692364,46,0.32,matang
645,28.434157313325528,88.85875805568634,40,0.2121168537334894,matang
646,27.737762105851974,92.23598575570368,47,0.3869227210925772,matang
647,28.95909595552043,91.93655540337446,48,0.5381270276072987,matang
648,27.985774430192457,90.03857508726783,43,0.3083999178655797,matang
649,28.638731055201884,91.21553803663176,46,0.4590877089799636,matang
650,27.304736960464552,94.78883170289345,48,0.4068549306863851,matang
651,28.924042149599572,93.29648670055818,45,0.278014049866524,matang
652,27.723373598744654,93.95289118108585,49,0.3884337411026268,matang
653,30.13634584157619,91.80561061797208,49,0.446863362921675,matang
654,28.823375019438707,91.48452831026609,48,0.4079033297047741,matang
655,30.790186055463447,90.83724534861342,46,0.32,matang
656,28.860550128802057,93.28158424898434,46,0.2682068240364571,matang
657,28.614523323970143,92.6251321755082,45,0.39,matang
658,29.28346991765034,90.80134945064395,44,0.3075421703326234,matang
659,28.014080727581305,90.20713901670008,43,0.2948251130729943,matang
660,28.040988187835225,91.7043802937352,50,0.6143952751340904,matang
661,29.011559345678315,90.3363740893986,44,0.3722904689230784,matang
662,28.93034135734523,93.31462704561174,46,0.2772819257628558,matang
663,28.35034829811888,93.5654628520993,49,0.3776749217557095,matang
664,28.057235047746452,92.00657188808404,50,0.6208940190985819,matang
665,28.690978326245503,93.55610122233092,47,0.5356096379893258,matang
666,27.61361100363229,94.44680913391312,49,0.378739587363789,matang
667,29.317095618312173,90.84208929927532,44,0.3143439344580364,matang
668,27.492809122016656,92.6422378282032,46,0.3234585339196333,matang
669,29.294904110271354,90.8749893455857,44,0.355095889728646,matang
670,28.56217362470725,91.30717397997869,46,0.496087049201241,matang
671,28.18,91.07349064174558,45,0.2528447141147047,matang
672,28.806955012651414,93.39021746710247,45,0.3669154731782349,matang
673,28.534618151336897,91.29856221509668,46,0.5015776255039079,matang
674,28.480652186535774,91.39621620052309,45,0.4737602867973208,matang
675,29.25340627671902,90.870378475191,44,0.3965937232809797,matang
676,30.71170803188739,90.8392072992028,46,0.32,matang
677,28.54648125733288,92.43381510762184,45,0.380744222113182,matang
678,29.214983596018723,90.9475363231014,45,0.3799906262964139,matang
679,29.259732735509044,91.21369988790796,48,0.3754457819578086,matang
680,29.74796700805593,90.15374725410604,43,0.4283296721413867,matang
681,28.59488650724057,92.45853131783338,47,0.2770226985518857,matang
682,29.334865195773443,91.12989380569246,44,0.3048651957734425,matang
683,27.726321454219043,93.93263265794648,44,0.2642108859821613,matang
684,28.422724831926597,94.06025865997518,50,0.574423000228119,matang
685,28.45210879637859,92.48367469793564,48,0.5074760487578728,matang
686,30.56527421428855,90.92144874365432,46,0.32,matang
687,29.277141657659502,90.77595860578124,44,0.3219214097542325,matang
688,29.16414349774599,91.0601108264196,45,0.3509391415691375,matang
689,28.160469267682195,93.4704692676822,49,0.3738620361215004,matang
690,28.65050876935488,92.2709923825764,49,0.4363358724745347,matang
691,28.910138541542803,90.19453904739257,44,0.3685239286138966,matang
692,28.40662335331543,92.32958115612983,48,0.5046912257131899,matang
693,27.922718071098668,88.0251811787529,39,0.4420134437479288,matang
694,28.569684495325703,91.69384289229788,43,0.2353042917708683,matang
695,29.166209393791895,90.68446365768206,44,0.3401495669942123,matang
696,30.162249680416547,91.55895968403162,49,0.4682184655893382,matang
697,28.36969209604956,92.7042035440626,42,0.3073494054698393,matang
698,28.955668627464338,90.27779406164908,44,0.3529136134407985,matang
699,28.16597250601315,91.0325736968698,46,0.5371709182042973,matang
700,29.45200121873715,90.39860616643864,44,0.3422698135517824,matang
701,29.291516771003007,90.90424161449847,44,0.3504026908308295,matang
702,29.40609422563885,90.2439465673451,43,0.4315133581637254,matang
703,27.95113069872022,93.14192290118184,48,0.4075928533463944,matang
704,27.678234438065903,89.94882780967048,42,0.2443142010744975,matang
705,28.80740454265663,93.39327855237612,45,0.3668084422246108,matang
706,29.887785966035008,89.27561104748723,41,0.1183935556324502,matang
707,28.173479286427373,90.99978107035894,45,0.3378107035894142,matang
708,29.28833442656996,90.16281486340311,43,0.4329353005823847,matang
709,28.312131438291015,91.98453007880414,50,0.4996007415382984,matang
710,30.60284086912954,90.90858589410708,47,0.2428408691295394,matang
711,30.212670595021983,91.52352877106564,49,0.4686727080632611,matang
712,30.01528470954512,89.27638971130197,41,0.1255546156548985,matang
713,28.142905494213423,90.82395792647914,45,0.2558976453371036,matang
714,29.23156699679317,90.4881456737039,43,0.37,matang
715,29.226904394576543,90.50544461586428,43,0.3545553841357194,matang
716,27.56458220059018,94.82581982340872,46,0.3358682408880309,matang
717,29.30789824679021,90.40932926856384,43,0.3901676828590347,matang
718,27.09258385650007,93.84230205115284,44,0.2379638847361315,matang
719,28.859266813697783,92.201841001854,42,0.3203746292495762,matang
720,28.409526791911624,91.1219193938794,46,0.4978264577050778,matang
721,29.045115220803343,93.6393592424635,45,0.3561438994584963,matang
722,29.342863888250932,90.86151490310765,43,0.3136449486830023,matang
723,29.856372252503615,90.20777938645897,44,0.3922482559274129,matang
724,27.90201581302141,93.15973516661222,50,0.5410079065107055,matang
725,28.456272321905136,92.89160036640564,44,0.3643251754308767,matang
726,28.981188711672484,91.2099026205046,46,0.3614036283909868,matang
727,27.98259646424195,88.46809636810391,39,0.3061053036370721,matang
728,29.29963618428247,90.87551513158694,44,0.3503638157175311,matang
729,30.2128083831348,91.64536849397156,48,0.382327383734023,matang
730,27.25432633917438,91.80740095599296,44,0.4254516729876701,matang
731,28.318221335989097,88.99359025700925,40,0.1452964440018173,matang
732,29.622145578088848,92.94469439582645,45,0.4453575963481413,matang
733,28.74729661870751,92.2988220322199,49,0.5330423716407895,matang
734,29.16711559331715,89.30700636155933,41,0.1941431600742539,matang
735,29.543284917191603,91.65336653279412,44,0.2702268640277303,matang
736,28.465386510457098,94.36766295201342,45,0.4466377321150019,matang
737,28.35327329205961,91.6854846757719,49,0.5702532837631632,matang
738,28.405807822050196,91.32735190593954,49,0.516911832221335,matang
739,28.79429625278048,90.38299941253648,44,0.3771296840244002,matang
740,28.301550624262894,92.0318766570796,46,0.343127761799326,matang
741,28.330626824384616,92.0534936245384,48,0.5004178829230781,matang
742,28.559039922636767,92.20521545329984,47,0.2841920154726464,matang
743,28.019373729848912,90.0418752090122,44,0.3356248552992433,matang
744,28.796041735813414,90.40656343348108,44,0.3749478302332332,matang
745,29.240574213675536,90.97261742533884,45,0.3507233443942439,matang
746,30.18832788156652,90.14,44,0.3415171339758105,matang
747,30.169076528037863,90.18282201051362,44,0.3288426483644969,matang
748,28.2728953172007,94.45559102794536,45,0.4917899873232928,matang
749,28.184690561832145,91.39687295877856,49,0.5678116649548692,matang
750,28.457664291345147,93.47423361742013,42,0.346569326074957,matang
751,28.36338742683513,92.07255666782557,50,0.4795440503688618,matang
752,28.3581840692964,91.32781950852812,48,0.518789379530934,matang
753,27.98971144528103,93.2687285807117,48,0.4100694309850379,matang
754,28.42192015855528,91.65174273312256,47,0.3860709701730833,matang
755,28.563019937390056,92.3350473627353,49,0.5598176159347783,matang
756,28.768008968761897,90.36776620341912,43,0.3363857059402538,matang
757,28.495921290795557,93.5499562726642,48,0.4831886308926915,matang
758,27.344155267614596,93.85983909859326,44,0.2399463661977519,matang
759,29.92886742031228,91.72295802896976,49,0.466115922705516,matang
760,28.43398170881369,91.73469314076588,46,0.4030122743693645,matang
761,29.274039531254616,92.08323656247758,48,0.4943421875065942,matang
762,30.153811047935676,91.77549819321436,49,0.4486701084071387,matang
763,28.308444464817665,90.9806585843769,45,0.2540121234346544,matang
764,29.252287020560203,90.87304936074696,45,0.396950639253063,matang
765,29.259006206268467,90.88200827502465,45,0.3879917249753772,matang
766,29.974574565846908,91.3477327310963,48,0.4368775017524686,matang
767,27.958243965665886,92.92919974076987,50,0.5691219828329434,matang
768,28.4642830800241,92.02300092199155,47,0.3590027659746976,matang
769,28.197081187287814,89.17304479675832,41,0.180608959351663,matang
770,28.171993096086428,91.00201035587035,45,0.3601035587035719,matang
771,30.689508594858076,90.84735517356188,45,0.3286775867809317,matang
772,28.004874231086887,88.56973867933394,39,0.2726886533696661,matang
773,28.36365658914664,91.46400456502806,47,0.437860809647433,matang
774,28.240246517470855,93.55024651747084,49,0.3651905959270812,matang
775,28.059300514568605,91.02634444681163,47,0.4197188036008962,matang
776,28.441690043501374,94.17494800332324,50,0.5673345422551581,matang
777,27.93371348057495,88.24506775512323,39,0.3794297791375695,matang
778,28.722997544761224,91.96579790346004,47,0.3559611861842159,matang
779,30.02468636297942,90.14,44,0.4010231407347566,matang
780,28.54351885955203,93.4119776779974,46,0.3246489612648272,matang
781,28.35177033105459,93.72274535852992,50,0.5859291355046614,matang
782,28.359114469717984,91.44936884686906,47,0.4418982491395702,matang
783,28.146153577444856,91.26000465762247,46,0.5053839436121419,matang
784,28.78567894322075,90.26666573348008,44,0.3879013209740674,matang
785,28.110742456096528,93.43693808115508,42,0.3635361074503201,matang
786,28.577801744101286,91.3451062759119,47,0.4219148534669645,matang
787,27.857637938225604,89.6747241235488,42,0.2238890542216341,matang
788,30.15804373434743,90.9530351148547,46,0.32,matang
789,28.693896851932085,92.71231293572868,45,0.39,matang
790,28.530081912877773,93.7036438102616,48,0.4113971461772702,matang
791,28.801836683804567,90.46167342302194,44,0.3701224455869709,matang
792,28.467578500846784,88.34636206365705,39,0.2125985259592483,matang
793,27.69324046884532,90.00351906230937,42,0.2524799184616836,matang
794,28.86501697920199,93.21952730274312,45,0.2920945394513736,matang
795,29.609807613124826,92.51743715878816,44,0.2432888636990012,matang
796,27.13953157229484,92.41721995808066,48,0.5141722431869662,matang
797,28.948567314610088,92.1978572957631,42,0.2980693868813537,matang
798,30.93505005076084,90.833623748731,46,0.32,matang
799,29.23366844817183,90.98358540584474,45,0.3490984583933719,matang
800,28.587853590932387,89.18670816751512,41,0.1833416335030236,matang
801,29.398792101511734,90.50052370842424,43,0.3848263110149417,matang
802,28.879538429449234,90.43878975214686,44,0.3726512809816411,matang
803,28.790551912670825,89.2104288264953,41,0.1564165178777436,matang
804,29.177875782004524,90.4846440727394,43,0.37,matang
805,29.115282390174094,90.55750718665942,44,0.3006528796844391,matang
806,28.683609629075967,93.54616950005892,47,0.5359300161271319,matang
807,28.637285337328848,92.5982904223315,45,0.3858840756978593,matang
808,28.79930502911079,93.70210677836673,47,0.530899781343009,matang
809,28.350465228021957,91.1616279900676,46,0.5204651048182608,matang
810,29.24742069159,90.9617436074747,45,0.3523342803741179,matang
811,28.33408024178567,90.31009538213974,43,0.3254337622577602,matang
812,28.69715400217528,91.27583924949502,46,0.4527004993008037,matang
813,29.32952910562335,91.38958352633024,44,0.2995291056233512,matang
814,27.69664066774929,89.85679666125354,42,0.2340885179170599,matang
815,29.25886543962823,90.88182058617096,45,0.3881794138290229,matang
816,28.41770762826087,92.03930233010868,47,0.4079069903260808,matang
817,28.24748409003587,93.13343317815064,49,0.4736815159665204,matang
818,28.980927331646573,91.24991436202478,46,0.3737802784805943,matang
819,28.568117025481243,91.25109485757206,48,0.4737517721152791,matang
820,29.17673999753361,90.3950835971883,43,0.3783260002466391,matang
821,27.95817479321749,89.47365041356503,41,0.2064043837882622,matang
822,28.617143573321083,92.61581458480232,47,0.2725712853357835,matang
823,27.42386281940088,94.65517830018436,49,0.3952328956682068,matang
824,28.872495484350132,91.42623869190452,48,0.3987341762546416,matang
825,29.29247973669227,90.6483387163748,43,0.3456401974807994,matang
826,28.61784694453752,90.9581565858518,45,0.2877651212222751,matang
827,27.94269073659396,88.28602648570994,39,0.365963895109061,matang
828,29.299675864526225,92.40839739751374,44,0.2929051693422151,matang
829,28.63243564158019,93.47719586473852,47,0.538154972105209,matang
830,29.55986209476279,91.71643188224972,44,0.2669835031985851,matang
831,28.532597867209027,91.91037358128858,46,0.3172776056947812,matang
832,30.976280352623743,90.74678307361673,45,0.3212060424113518,matang
833,29.204595883772924,92.90541179837714,45,0.3715319612576414,matang
834,28.481061498350964,93.49074929295362,42,0.3396877946026572,matang
835,30.67881879540635,90.50812205677953,45,0.3246648977278331,matang
836,30.22912323308929,90.14731980329256,45,0.3298939158943106,matang
837,29.28955991566415,92.33013237307924,43,0.2783553955132074,matang
838,28.828225262512813,92.65315357936667,44,0.3683253685393177,matang
839,28.994643251531897,90.52278814565544,44,0.3260482980411848,matang
840,29.93500477149118,91.81909447566008,48,0.4290912946659537,matang
841,29.419463231286397,90.22143034730712,43,0.4371424131732199,matang
842,29.081915986144544,92.48825460900603,44,0.3218154025401667,matang
843,30.627309203850913,90.85011959093995,45,0.3300597954699796,matang
844,29.529226938760495,91.5998850931106,44,0.2729773380685985,matang
845,28.121014675469564,91.98382180142283,45,0.3821194966989145,matang
846,30.585417772503263,90.43318402677588,45,0.325750956133683,matang
847,27.962498858055113,93.01750570972445,49,0.4610921084542232,matang
848,28.18,91.43592819693976,45,0.3086043379907355,matang
849,28.87190918506696,90.9124027082168,45,0.3434630557109469,matang
850,28.049341674641692,89.29131665071661,41,0.1905492739753576,matang
851,28.824683616741513,90.47919836857672,44,0.3672573759176099,matang
852,28.34575672138692,92.06665766516036,48,0.5009549528113286,matang
853,29.32535702752356,91.59262466052004,44,0.2953570275235608,matang
854,28.257720948069093,92.03799242585085,46,0.3533207097513745,matang
855,28.495233466767704,90.96707392968962,45,0.2743891054655678,matang
856,28.151478074632657,91.16771337303396,46,0.5186951865816427,matang
857,28.65589050563854,93.58213950035824,42,0.2901592028550956,matang
858,28.076818423915157,88.961430093181,40,0.1989609006199102,matang
859,27.767785885649037,89.6047044155269,41,0.2077470903527805,matang
860,27.869966804716935,88.11753171617302,39,0.4420835798516743,matang
861,28.38208193900015,93.29575560282984,42,0.382070986709983,matang
862,28.567038307769028,93.94793622715284,47,0.489136957408843,matang
863,29.067602879780964,93.24508120757764,46,0.3102246911474313,matang
864,29.0902850359618,91.58376346331292,42,0.3245180358006274,matang
865,28.161937506071187,91.09265647766954,45,0.5225624453593107,matang
866,28.11786249109737,94.30071250296754,50,0.497464222193678,matang
867,28.294797822866,94.24173405904466,50,0.5361052716603918,matang
868,28.717519469408572,93.38282105962904,48,0.5237256818005249,matang
869,27.96397444780876,88.38313341812749,39,0.334038328286857,matang
870,28.04934371828795,91.85979316015587,50,0.6177374873151804,matang
871,28.28864183922863,90.20740139046234,44,0.3453562332158377,matang
872,28.724083257679485,90.9504303085324,45,0.2993545372013983,matang
873,29.10546255947928,91.18245778028206,46,0.3218906002169657,matang
874,28.76409646484309,88.5741817733882,40,0.0733475514241843,matang
875,27.50297842657397,94.61283274359737,47,0.3188652284382648,matang
876,28.482933701376773,92.23510029531188,49,0.4348920528930022,matang
877,29.041910478043384,90.43549344556504,44,0.3233449789565545,matang
878,28.530483103172493,91.99991438677957,47,0.2901651112108512,matang
879,29.257524371476887,90.88003249530252,45,0.3899675046974838,matang
880,28.186436268654273,91.03965773823008,46,0.5372885878303311,matang
881,28.86771796613832,93.80398424560852,45,0.3524481033004009,matang
882,28.634937477324456,92.7415581730928,47,0.269012504535109,matang
883,28.417522073274807,94.38952695418313,45,0.4578651926886254,matang
884,29.318161891838304,91.86892795392824,48,0.5573741311975776,matang
885,28.867322213347418,92.1847090955569,42,0.3193535222517356,matang
886,29.21937175835211,90.87343494298857,45,0.3954200760152687,matang
887,29.10038798884433,93.40935320771231,45,0.3632758695283005,matang
888,28.730552387697543,91.58425057421616,43,0.2422835986330602,matang
889,28.901236878028445,93.38133043818056,45,0.2743290730995651,matang
890,28.43884330069471,93.23729140028443,42,0.3758272369235813,matang
891,28.033648377992456,90.91107618792452,46,0.4790026652377381,matang
892,28.501771593634885,92.96214773748072,42,0.3656909247505074,matang
893,29.469989257025475,91.7489843294457,48,0.5210264135288137,matang
894,28.071799814974337,92.47100092512834,49,0.6182122340256062,matang
895,29.219210515414375,91.16059711655076,46,0.32,matang
896,27.765980838015206,89.3356530403933,41,0.256394353598583,matang
897,29.15014690678095,90.54105426871013,44,0.3049619772425894,matang
898,28.895841463569205,91.20557757450428,48,0.4009241192068432,matang
899,27.774979922691735,89.53389423450173,41,0.2111659974230578,matang
900,28.6819342523297,90.95349569073966,45,0.2947564638905126,matang
901,28.25209282850716,93.15278987973008,49,0.4693800267266492,matang
902,28.66871211306984,92.98023226569354,47,0.2622575773860319,matang
903,27.170872760116826,94.93977557596996,47,0.4197506399666217,matang
904,29.091797112494948,90.47903024646706,43,0.37,matang
905,28.17565742528484,90.99651386207272,45,0.3051386207273946,matang
906,28.18599751050856,91.02093919952152,46,0.4464702221336119,matang
907,28.91724027726099,91.28441151648364,46,0.4003165511412545,matang
908,30.488676244281297,91.1402690341711,48,0.3357291364021245,matang
909,27.726213977862795,93.94244861079856,49,0.3886008222272232,matang
910,27.87804853017476,94.38065048994174,50,0.4450910583140284,matang
911,28.38633186638078,91.48457834649682,49,0.5017702463517686,matang
912,27.592802887491395,94.75270268307224,47,0.3349688179888854,matang
913,27.330779667197472,92.36143926373408,48,0.511895480152411,matang
914,28.25317926278878,91.80470122868536,46,0.427443819792813,matang
915,28.427931176022888,93.07996685061778,49,0.3848590371075557,matang
916,28.13944952395512,92.86810078505648,49,0.4115499749450061,matang
917,29.096616623932423,91.90738435249918,48,0.546461613571662,matang
918,30.14226014675108,90.20368051808688,45,0.3324810591462421,matang
919,28.26838948433676,91.30948576003937,47,0.4414989046184127,matang
920,28.701803125188636,91.34558010813318,46,0.4297036658545019,matang
921,27.970371440774848,88.05327158614097,39,0.4219488670421689,matang
922,28.95629803342556,91.26325523189448,46,0.3840424860726826,matang
923,29.52255736354298,92.65545345288596,44,0.2632708699061409,matang
924,28.77420788515054,93.51085202179186,47,0.4416866356474636,matang
925,28.16127324167563,91.01809013748657,45,0.5209013748655349,matang
926,27.713023044122405,92.94556984354163,47,0.3746682788099618,matang
927,27.453926850234115,93.92938077992866,47,0.3155951233489409,matang
928,27.40027988048804,93.18189966813334,47,0.3120186586992025,matang
929,27.48069338138007,92.65385566169034,46,0.3221307815211037,matang
930,28.4793400139135,91.8367622670546,47,0.3350310987435559,matang
931,29.02635999739603,90.92844654564392,45,0.3323301815341121,matang
932,28.26564935907409,92.36660753592592,50,0.5394393370370293,matang
933,27.665501428987753,94.16565651107445,49,0.385029495822809,matang
934,29.204235129044314,92.17374146748443,49,0.4656268283961908,matang
935,27.98127924312786,93.09069204956096,47,0.4252411687864,matang
936,28.687725789212585,91.76484518699216,47,0.3100741913543285,matang
937,28.755732686791625,93.15294466106243,46,0.2634423948541647,matang
938,29.175193256966537,90.07043233948063,43,0.4380518807376753,matang
939,29.339240379203577,93.10745154120352,46,0.3754176910088589,matang
940,30.628929942058473,90.88539560705914,47,0.2689299420584731,matang
941,28.38450257174687,92.00532361486036,48,0.4898261866072506,matang
942,28.81388939954649,93.72944449086786,48,0.5275002089053802,matang
943,29.61398824780656,91.94422447451431,49,0.4632791734036627,matang
944,28.90663929682672,90.4943997731699,44,0.3459201587810635,matang
945,28.955698495660865,91.32750445181576,48,0.3832029474766382,matang
946,28.852768431772024,93.18084767928008,45,0.2998304641439854,matang
947,29.426859205614697,89.18304067383413,40,0.1922628158877061,matang
948,28.742429527673504,91.43425695356476,46,0.4150297218574091,matang
949,28.170758978776988,91.00386153183452,45,0.3786153183451655,matang
950,29.056085062714725,93.1363404218929,58,1.0443829532502569,terlalu matang
951,27.77197039946081,94.341400974962,52,0.6226765335130637,terlalu matang
952,29.170106594993165,92.92171322023044,48,0.4054543121109162,terlalu matang
953,28.805002175165605,93.80977507090503,48,0.3458888405518754,terlalu matang
954,26.89146492930613,93.94600050573494,50,0.6193700588293334,terlalu matang
955,29.06368209710779,91.62838346956244,48,0.3301796144930632,terlalu matang
956,29.85933251746114,92.21655256814364,58,1.0135867977005524,terlalu matang
957,27.8576101464401,95.21447707456804,51,0.5306497559331721,terlalu matang
958,28.316490060578374,92.75863578191786,55,0.8238719676915343,terlalu matang
959,28.24072294374444,92.8780651897072,53,0.7435896358473877,terlalu matang
960,27.593527357459102,96.83872729243237,59,1.1116000216755852,terlalu matang
961,28.648123954750595,92.61362479095013,57,1.0067249581900235,terlalu matang
962,26.936415576693715,94.29836365438132,57,1.062577933017237,terlalu matang
963,27.484278142790956,96.10713023798492,56,0.6911883729974876,terlalu matang
964,27.95534109084523,92.89715402375984,55,0.67,terlalu matang
965,28.98302676662346,93.12678693797795,56,0.7254132762151667,terlalu matang
966,27.73553980005687,93.9840858494289,49,0.4872438241291065,terlalu matang
967,27.74634148971021,95.13906999113404,50,0.5723988192466916,terlalu matang
968,28.36062003805621,92.49255954332544,51,0.6500793911005943,terlalu matang
969,28.103085667610728,95.69081221777446,55,0.8180510573074053,terlalu matang
970,29.328225299168796,92.02942583208404,48,0.5094780291672931,terlalu matang
971,29.569449887717905,91.74013960960464,49,0.4721921229919095,terlalu matang
972,28.525868358823807,93.22604639169111,58,0.926100317279464,terlalu matang
973,29.20651344247208,93.1108812251981,58,1.0485440724246593,terlalu matang
974,27.672512316140796,94.20454843760108,53,0.6083415440938644,terlalu matang
975,28.21025735090063,94.86062907997932,57,0.9202001618116002,terlalu matang
976,28.473279089634268,93.2054883514904,58,0.9167790738143876,terlalu matang
977,28.48080294962763,92.31102809402005,52,0.606045028878484,terlalu matang
978,27.005129639799925,93.51062022290108,51,0.52,terlalu matang
979,29.61254297570745,92.46745702429256,59,1.1849713495283678,terlalu matang
980,29.449437782536513,92.50303386297564,54,0.7043818856097329,terlalu matang
981,30.234279454271427,93.0544277768048,57,0.96412944551471,terlalu matang
982,28.578859431591127,92.64083657328683,57,0.9467679983740088,terlalu matang
983,27.852475928943026,96.38988405198762,56,0.7810886221835525,terlalu matang
984,29.489906656655617,92.5900933433444,59,1.266728895562921,terlalu matang
985,28.83357098934556,92.59774489060128,52,0.6095536263318048,terlalu matang
986,28.650314255788437,92.32858656318926,52,0.6324607180264454,terlalu matang
987,29.44922150408426,92.30032957562612,51,0.4591317200263307,terlalu matang
988,28.85516981850043,92.7057822937308,52,0.566258349846418,terlalu matang
989,27.80820762996093,95.2432431211572,50,0.556344277529304,terlalu matang
990,29.05582310591519,92.93892678778572,57,0.8197316969464307,terlalu matang
991,28.927053677477694,95.02,55,0.7901061129506279,terlalu matang
992,29.111147023214222,93.12413973258931,56,0.8617205348213417,terlalu matang
993,29.23035225884392,93.10751899338474,59,1.0962481006615248,terlalu matang
994,27.82980128799848,95.43976983390664,51,0.53009935600076,terlalu matang
995,29.094086281008185,91.39019554470585,47,0.426891442521053,terlalu matang
996,28.13673763753696,95.65496745041332,56,0.919016364146505,terlalu matang
997,29.323448837437567,92.7652640150363,60,1.3778217868815368,terlalu matang
998,28.297560644559315,94.4568566581482,53,0.6563460559780938,terlalu matang
999,30.06021615921573,92.24823088928714,53,0.6184132351328573,terlalu matang
1000,28.830658141620027,93.15018281711669,56,0.949122477839962,terlalu matang
1001,27.61888917852561,94.35648066084411,53,0.5725927856837384,terlalu matang
1002,28.770423384696056,95.19468246147795,58,0.9051058461740146,terlalu matang
1003,26.94444686886212,93.44712534034107,50,0.5014741151132069,terlalu matang
1004,29.39458404991604,91.90541595008396,50,0.3749520336643058,terlalu matang
1005,29.33971606827402,92.11119095350936,48,0.3467429017068504,terlalu matang
1006,29.322587216367697,94.80704123721272,54,0.779261443350623,terlalu matang
1007,29.758450361852777,92.61880074061548,54,0.5835977781535538,terlalu matang
1008,27.12213721768717,94.33247132129084,49,0.5218362630997961,terlalu matang
1009,27.04,96.55306710177366,58,0.9874369886918144,terlalu matang
1010,28.535313767232736,92.8092914977023,53,0.6521255068930936,terlalu matang
1011,27.430802024216355,94.6246008975299,56,0.8009999045180964,terlalu matang
1012,27.083618339505534,94.19744969605976,56,0.8993609488539789,terlalu matang
1013,29.736878491002575,91.83805216320918,51,0.43155661272195,terlalu matang
1014,28.992679774904225,92.89145546701243,60,1.183129282018035,terlalu matang
1015,27.069974769045775,95.97786164838467,52,0.6453521867768486,terlalu matang
1016,29.070423168937264,92.91664810073736,56,0.8651447639044947,terlalu matang
1017,28.300233540942703,94.4822712001435,53,0.6094613925819631,terlalu matang
1018,28.615229105777047,95.3079220551076,58,1.09355305244471,terlalu matang
1019,28.239681440667827,92.05700260717668,52,0.5983289880388748,terlalu matang
1020,29.72579836959932,92.62,54,0.5668228887999218,terlalu matang
1021,27.690279481456983,94.15420813587188,53,0.6201863209713214,terlalu matang
1022,28.400071301469605,92.54739512794032,54,0.7846476529414388,terlalu matang
1023,29.17905315697829,93.10047342151086,59,1.086939962209634,terlalu matang
1024,27.480203060717148,94.21422497461084,52,0.5738027749567605,terlalu matang
1025,28.024275171428105,94.5652226236932,54,0.6186396578396567,terlalu matang
1026,27.142464548411084,93.40523413512564,54,0.7618009078238213,terlalu matang
1027,28.466343929291305,93.2142687202271,57,0.902648205779172,terlalu matang
1028,28.70947993051978,95.30582344334368,54,0.7223916521916209,terlalu matang
1029,28.039375250764223,93.05808595317276,55,0.790573021151759,terlalu matang
1030,28.450153891574953,92.59080003936496,54,0.7712922955800128,terlalu matang
1031,29.076094532149575,94.81898424464174,54,0.7436719184527543,terlalu matang
1032,26.85798076971518,93.91471541630077,50,0.4347068859263971,terlalu matang
1033,27.415776857594345,93.70633471360848,59,1.0606598660008837,terlalu matang
1034,28.587975097622895,92.24228902007846,51,0.6401760784675744,terlalu matang
1035,29.130456208683345,93.14284037465058,48,0.3795290595237257,terlalu matang
1036,27.199332624877336,94.79800850147198,59,0.9043924485799208,terlalu matang
1037,29.256047708519795,94.74951419479008,53,0.7395141947900751,terlalu matang
1038,29.175642445395148,92.8908402083732,48,0.4090739066045206,terlalu matang
1039,27.78162211885035,95.3325190780321,59,1.132886451680475,terlalu matang
1040,29.571039556185376,91.731648576959,51,0.4847672455151424,terlalu matang
1041,29.806156049466416,92.6195022948451,54,0.5814931154647169,terlalu matang
1042,27.50741001697702,91.80592801358162,47,0.4532086587440579,terlalu matang
1043,27.695104092674026,96.86234978899397,59,1.137584767893356,terlalu matang
1044,27.79198402471191,94.12114654387425,53,0.6362113671204258,terlalu matang
1045,27.80504517213965,93.1218409220438,59,1.0123652789868964,terlalu matang
1046,28.63598944381104,94.08530342413128,49,0.3562181170376251,terlalu matang
1047,28.78,92.6790159296354,52,0.5260921494606936,terlalu matang
1048,28.685394252613474,93.14410347868132,60,1.1628980337888208,terlalu matang
1049,28.789733452157297,93.08095080527322,60,1.1985930231064432,terlalu matang
1050,29.79598089938497,91.87800804236424,50,0.4564927116074223,terlalu matang
1051,29.111827391622985,92.01133406434498,52,0.4582398972998589,terlalu matang
1052,29.910284370992027,92.47943125801596,54,0.5924031242927108,terlalu matang
1053,27.005484438201584,93.50547564607704,51,0.52,terlalu matang
1054,27.11229811200064,95.97030390857132,52,0.6536657005715547,terlalu matang
1055,28.071665546513785,94.21347954297762,52,0.6062401075346766,terlalu matang
1056,27.776302249470735,91.99444730288953,48,0.3391232583509755,terlalu matang
1057,29.244843853923413,91.41417970403327,47,0.3960546662429383,terlalu matang
1058,28.575895770438663,93.21764507104612,59,1.1185281694038276,terlalu matang
1059,28.393688832359324,92.20239230052316,53,0.5678962774531077,terlalu matang
1060,29.103100013772213,93.73235568417364,59,1.02781772082166,terlalu matang
1061,27.716756101320247,92.73643275078732,54,0.6343423922803622,terlalu matang
1062,28.121906231021356,92.73893305107796,55,0.7408392820993059,terlalu matang
1063,27.98754148904901,96.0802315713028,59,1.0277769200639642,terlalu matang
